repo,pr_number,pr_title,task_type,total_files,lines_added,lines_deleted,pr_additions,pr_deletions,pr_commits,pr_review_comments,pr_comments,design_files,testbench_files,script_files,constraint_files,memory_files,build_files,config_files,doc_files,image_files,other_files,has_testbench,tb_file_list,rtl_file_list
darklife/darkriscv,86,Add darkspi SPI master to darkio -- RFC,feature-addition,10,915,9,,,,,,0,10,0,0,0,0,0,0,0,0,1,boards/max1000_max10/dut.v|boards/max1000_max10/top.v|rtl/config.vh|rtl/darkio.v|rtl/darksocv.v|rtl/darkspi.v|rtl/lib/sdram/mt48lc16m16a2_ctrl.v|rtl/lib/spi/lis3dh_stub.v|rtl/lib/spi/spi_master.v|sim/darksimv.v,
darklife/darkriscv,85,Fix leds byte access,bug-fix,1,1,1,,,,,,0,1,0,0,0,0,0,0,0,0,1,rtl/darkio.v,
darklife/darkriscv,82,Extend darksocv/darkio to 16-leds,other,6,25,24,,,,,,1,5,0,0,0,0,0,0,0,0,1,boards/de10nano_cyclonev_mister/dut.v|boards/max1000_max10/dut.v|boards/max1000_max10/top.v|rtl/darkio.v|rtl/darksocv.v,boards/de10nano_cyclonev_mister/darkriscv_de10nano.sv
darklife/darkriscv,81,Add new board DE10-Nano w/ Intel Cyclone V (MiSTer),feature-addition,42,12496,0,,,,,,23,19,0,0,0,0,0,0,0,0,1,boards/de10nano_cyclonev_mister/_darkram.v|boards/de10nano_cyclonev_mister/dut.v|boards/de10nano_cyclonev_mister/rtl/pll.v|boards/de10nano_cyclonev_mister/rtl/pll/pll_0002.v|boards/de10nano_cyclonev_mister/sys/arcade_video.v|boards/de10nano_cyclonev_mister/sys/hq2x.sv|boards/de10nano_cyclonev_mister/sys/i2c.v|boards/de10nano_cyclonev_mister/sys/pll_audio.v|boards/de10nano_cyclonev_mister/sys/pll_audio/pll_audio_0002.v|boards/de10nano_cyclonev_mister/sys/pll_cfg.v|boards/de10nano_cyclonev_mister/sys/pll_cfg/altera_pll_reconfig_core.v|boards/de10nano_cyclonev_mister/sys/pll_cfg/altera_pll_reconfig_top.v|boards/de10nano_cyclonev_mister/sys/pll_hdmi.v|boards/de10nano_cyclonev_mister/sys/pll_hdmi/pll_hdmi_0002.v|boards/de10nano_cyclonev_mister/sys/sysmem.sv|boards/de10nano_cyclonev_mister/sys/video_cleaner.sv|boards/de10nano_cyclonev_mister/sys/video_freak.sv|boards/de10nano_cyclonev_mister/sys/video_mixer.sv|rtl/config.vh,boards/de10nano_cyclonev_mister/darkriscv_de10nano.sv|boards/de10nano_cyclonev_mister/rtl/vga.v|boards/de10nano_cyclonev_mister/sys/alsa.sv|boards/de10nano_cyclonev_mister/sys/audio_out.v|boards/de10nano_cyclonev_mister/sys/ddr_svc.sv|boards/de10nano_cyclonev_mister/sys/f2sdram_safe_terminator.sv|boards/de10nano_cyclonev_mister/sys/gamma_corr.sv|boards/de10nano_cyclonev_mister/sys/hdmi_config.sv|boards/de10nano_cyclonev_mister/sys/hps_io.v|boards/de10nano_cyclonev_mister/sys/i2s.v|boards/de10nano_cyclonev_mister/sys/iir_filter.v|boards/de10nano_cyclonev_mister/sys/ltc2308.sv|boards/de10nano_cyclonev_mister/sys/math.sv|boards/de10nano_cyclonev_mister/sys/mcp23009.sv|boards/de10nano_cyclonev_mister/sys/mt32pi.sv|boards/de10nano_cyclonev_mister/sys/osd.v|boards/de10nano_cyclonev_mister/sys/scandoubler.v|boards/de10nano_cyclonev_mister/sys/scanlines.v|boards/de10nano_cyclonev_mister/sys/sd_card.sv|boards/de10nano_cyclonev_mister/sys/sigma_delta_dac.v|boards/de10nano_cyclonev_mister/sys/spdif.v|boards/de10nano_cyclonev_mister/sys/sys_top.v|boards/de10nano_cyclonev_mister/sys/vga_out.sv
darklife/darkriscv,80,Add new board MAX1000 w/ Intel MAX10,feature-addition,6,637,0,,,,,,1,5,0,0,0,0,0,0,0,0,1,boards/max1000_max10/_darkram.v|boards/max1000_max10/dut.v|boards/max1000_max10/pll.v|boards/max1000_max10/top.v|rtl/config.vh,boards/max1000_max10/pll_bb.v
darklife/darkriscv,77,Remove 'x' perm for non-executables,feature-removal,7,0,0,,,,,,0,7,0,0,0,0,0,0,0,0,1,rtl/config.vh|rtl/darkbridge.v|rtl/darkio.v|rtl/darkpll.v|rtl/darkram.v|rtl/darkriscv.v|rtl/darksocv.v,
darklife/darkriscv,76,Fix XCUS to retain its actual value,bug-fix,1,1,1,,,,,,0,1,0,0,0,0,0,0,0,0,1,rtl/darkriscv.v,
darklife/darkriscv,72,Do not duplicate cache signals in Harvard mode,bug-fix,1,2,0,,,,,,0,1,0,0,0,0,0,0,0,0,1,rtl/darkbridge.v,
darklife/darkriscv,62,added ice40hx8k for lattice breakout board and scripts for yosys/next…,other,3,14,0,,,,,,1,2,0,0,0,0,0,0,0,0,1,rtl/config.vh|rtl/darksocv.v,boards/ice40_breakout_hx8k/pll.v
darklife/darkriscv,59,added ecp5 fpga boards,other,6,924,223,,,,,,3,3,0,0,0,0,0,0,0,0,1,rtl/config.vh|rtl/darkriscv.v|rtl/darksocv.v,boards/colorlighti5/pll_ref_25MHz.v|boards/colorlighti9/pll_ref_25MHz.v|boards/ulx3s/pll_ref_25MHz.v
